StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q4_4_TEXT,Q5,Q9,Q10,Q11,Q12,Q13,Q17,Q18,Q19,Q20,Q21,Q22,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q25,Q26,Q27,Q28,Q29,Q30,Q31,group
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your age?,Gender,Field of Study,What's the level of degree you are currently persuing? - Selected Choice,What's the level of degree you are currently persuing? - Other: - Text,Is English your first language?,"On a scale of 1 to 5, how would you rate your proficiency in English?",Have you previously studied or been trained in legal terminology or legal studies?,"How often do you read legal texts? (1: Never, 5: Frequently)",Are you currently under any academic stress or facing tight deadlines?,"How would you rate your overall concentration level today? (1: Very poor, 5: Excellent)","On a scale of 1 to 5, how easy was the text to read? (1 = Very Difficult, 5 = Very Easy)",Do you feel this text was simpler to understand compared to other legal texts you've read? (Yes/No),Was the language used in the text clear and straightforward?,"What, if anything, made the text difficult to understand?",Did you find the text length appropriate for understanding the content?,"Did the structure of the text (e.g., headings, paragraphs) help in understanding the content?","Statements - If you disagree with the terms of the license, you can still use the software for up to 30 days while seeking clarification.","Statements - The software may only be used on Apple-branded hardware, unless otherwise specified in additional licenses.","Statements - You are allowed to make unlimited backup copies of the software, provided they are for personal use only.",Statements - Purchasing the software gives you full ownership of the code and associated intellectual property.,"Statements - Apple may collect data when using certain features like Maps and Siri, and some of this data may be shared with third parties in aggregated forms.",Statements - Apple ensures the accuracy and reliability of all third-party content provided through its software.,Statements - Apple does not guarantee that the software will work without interruptions or errors.,Statements - Apple can terminate your license.,Statements - You are required to comply with local laws when using Apple software.,"Statements - Apple may update, add, or remove software features without notice, and you are required to accept all updates to continue using the software.",What is the main purpose of the licensing terms described in the text?,"In your own words, summarize the key point of the text.",Did you find the text engaging?,Do you feel you could explain the main points of the text to someone else?,"After reading the text, do you feel confident about understanding the topic? (Yes/No)","How much effort did it take to understand the text? (1: Very Little Effort, 5: A Lot of Effort)",Did you have to re-read parts of the text to understand it?,group
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID24_4""}","{""ImportId"":""QID24_5""}","{""ImportId"":""QID24_6""}","{""ImportId"":""QID24_7""}","{""ImportId"":""QID24_8""}","{""ImportId"":""QID24_9""}","{""ImportId"":""QID24_10""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""group""}"
2025-01-19 05:42:36,2025-01-19 05:43:31,Survey Preview,,100,55,True,2025-01-19 05:43:32,R_2b29YR5BH9PUtn0,,,,,51.9949,4.169,preview,EN,18-20,Female,,Master's,,Yes,3 - Advanced,2,4 - Occasionally,1,4 - Above average,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-19 05:46:09,2025-01-19 05:46:24,IP Address,62.45.38.59,100,15,True,2025-01-19 05:46:24,R_8HuxlMXvSqLru5g,,,,,51.9949,4.169,anonymous,EN,18-20,Prefer not to say,,Bachelor's,,No,4 - Superior,1,3 - Rarely,1,1 - Very poor,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-19 05:48:15,2025-01-19 05:48:42,Survey Preview,,100,26,True,2025-01-19 05:48:42,R_21aIFMiw4mftkry,,,,,51.9949,4.169,preview,EN,25-30,,,,,,1 - Novice,,5 - Frequently,,2 - Below average,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-19 06:58:16,2025-01-19 06:58:34,Survey Preview,,100,18,True,2025-01-19 06:58:34,R_2CmfWFbHmuISxeR,,,,,51.9949,4.169,preview,EN,30+,Non-binary / third gender,,Bachelor's,,No,,,4 - Occasionally,1,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-19 07:00:08,2025-01-19 07:00:24,Survey Preview,,100,16,True,2025-01-19 07:00:24,R_21XFzsc2VIJTF4i,,,,,51.9949,4.169,preview,EN,18-20,,,PhD,,,2 - Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 05:59:54,2025-01-20 06:07:42,IP Address,145.109.6.93,100,467,True,2025-01-20 06:07:43,R_2Ho7NZ6NJkFqBxt,,,,,52.3824,4.8995,anonymous,EN,21-24,Female,(Natural) Sciences/Mathematics/IT,Master's,,No,3 - Advanced,No,3 - Rarely,Yes,3 - Average,4,Yes,No,hgjgik,Yes,Yes,,,,,,,,,,,,,No,Yes,No,4 - Medium effort,Yes,
2025-01-25 08:11:56,2025-01-25 08:21:20,IP Address,77.63.127.140,100,563,True,2025-01-25 08:21:20,R_2KK5czBNhh8WYoz,,,,,51.8895,4.468,anonymous,EN,25-30,Male,(Natural) Sciences/Mathematics/IT,Master's,,No,4 - Superior,No,2 - Very rarely,Yes,3 - Average,5,Yes,Yes,N/A,No,Yes,False,True,False,False,,,True,True,True,True,To outline how the software can be used and what is prohibited.,"You are the user of a product that Apple is the owner of. Only you may use the copy that you purchased, and to a reasonable degree Apple can change functionalities of the product or collect data. ",No,Yes,Yes,2 - Little effort,I'm not sure,
2025-01-25 08:56:04,2025-01-25 09:11:26,IP Address,62.163.187.60,100,922,True,2025-01-25 09:11:27,R_26DuAVQP0cLaWVX,,,,,52.4452,4.8406,anonymous,EN,21-24,Male,(Natural) Sciences/Mathematics/IT,Other:,"secondary vocational education ",No,3 - Advanced,No,3 - Rarely,Yes,1 - Very poor,5,Yes,Yes,,Yes,Yes,,True,False,False,True,False,False,True,True,True,To outline how the software can be used and what is prohibited.,,No,No,I'm not sure,3 - Neutral,Yes,
2025-01-25 08:12:43,2025-01-25 13:32:03,IP Address,109.38.151.202,100,19159,True,2025-01-25 13:32:03,R_2jIccmHuBzKlAJh,,,,,51.9222,4.3967,anonymous,EN,21-24,Male,(Natural) Sciences/Mathematics/IT,Master's,,No,3 - Advanced,No,3 - Rarely,Yes,3 - Average,3,I’m not sure / I haven’t read other legal texts,Yes,,Yes,Yes,,True,,,True,,,True,True,True,To outline how the software can be used and what is prohibited.,,No,No,No,4 - Medium effort,I'm not sure,
2025-01-25 20:26:19,2025-01-25 20:31:35,IP Address,158.62.54.145,100,315,True,2025-01-25 20:31:36,R_4CW9WOkiHUWe6uh,,,,,10.3387,123.8998,anonymous,EN,21-24,Male,(Natural) Sciences/Mathematics/IT,Master's,,No,4 - Superior,No,2 - Very rarely,No,3 - Average,5,I’m not sure / I haven’t read other legal texts,Yes,,Yes,Yes,False,False,False,False,True,False,True,True,True,True,To outline how the software can be used and what is prohibited.,"It is from Apple, works on apple, only on apple.",No,Yes,Yes,2 - Little effort,Yes,
2025-01-26 00:03:38,2025-01-26 00:10:59,IP Address,89.205.129.198,100,441,True,2025-01-26 00:11:00,R_2DSTnOvpj6XeX2Z,,,,,52.3672,4.918,anonymous,EN,21-24,Female,Medicine,Master's,,No,4 - Superior,No,1 - Never,No,3 - Average,4,Yes,Yes,,Yes,Yes,False,False,False,True,True,True,True,False,True,False,To outline how the software can be used and what is prohibited.,,No,Yes,Yes,3 - Neutral,Yes,
2025-01-26 03:06:49,2025-01-26 03:20:48,IP Address,193.32.249.135,100,838,True,2025-01-26 03:20:48,R_25xRKmospIsqMpj,,,,,52.3385,4.9168,anonymous,EN,21-24,Male,Humanities,Bachelor's,,No,4 - Superior,No,4 - Occasionally,No,3 - Average,4,Yes,Yes,The amount of text that was there and i did not care enough about ti read it all,No,Yes,True,True,False,,True,True,,True,True,True,To outline how the software can be used and what is prohibited.,Terms and conditions of apple software,No,No,No,3 - Neutral,No,
